  #timestep,                   time,        internal_energy,         kinetic_energy,           beam_contact,         beam_potential,            total_energy
        163,   1.63000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        164,   1.64000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821615e-02,   0.00000000000000e+00,    2.44226626455781e+01
        165,   1.65000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821615e-02,   0.00000000000000e+00,    2.44226626455781e+01
        166,   1.66000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        167,   1.67000000000000e+00,   2.43461836318955e+01,   0.00000000000000e+00,   7.65129829503928e-02,   0.00000000000000e+00,    2.44226966148459e+01
        168,   1.68000000000000e+00,   2.43471837044950e+01,   0.00000000000000e+00,   7.60299436987574e-02,   0.00000000000000e+00,    2.44232136481938e+01
        169,   1.69000000000000e+00,   2.43493038908726e+01,   0.00000000000000e+00,   7.50446046416249e-02,   0.00000000000000e+00,    2.44243484955143e+01
        170,   1.70000000000000e+00,   2.43523641776195e+01,   0.00000000000000e+00,   7.36779188945506e-02,   0.00000000000000e+00,    2.44260420965141e+01
        171,   1.71000000000000e+00,   2.43561280550407e+01,   0.00000000000000e+00,   7.20633807280491e-02,   0.00000000000000e+00,    2.44281914357688e+01
        172,   1.72000000000000e+00,   2.43603477097696e+01,   0.00000000000000e+00,   7.03256668632667e-02,   0.00000000000000e+00,    2.44306733766329e+01
        173,   1.73000000000000e+00,   2.43647964264890e+01,   0.00000000000000e+00,   6.85679018852648e-02,   0.00000000000000e+00,    2.44333643283743e+01
        174,   1.74000000000000e+00,   2.43692858451951e+01,   0.00000000000000e+00,   6.68671753455262e-02,   0.00000000000000e+00,    2.44361530205407e+01
        175,   1.75000000000000e+00,   2.43736710174165e+01,   0.00000000000000e+00,   6.52757313472651e-02,   0.00000000000000e+00,    2.44389467487638e+01
        176,   1.76000000000000e+00,   2.43778478496424e+01,   0.00000000000000e+00,   6.38250325469220e-02,   0.00000000000000e+00,    2.44416728821893e+01
        177,   1.77000000000000e+00,   2.43817469302909e+01,   0.00000000000000e+00,   6.25306457715976e-02,   0.00000000000000e+00,    2.44442775760625e+01
        178,   1.78000000000000e+00,   2.43853264034939e+01,   0.00000000000000e+00,   6.13967891894295e-02,   0.00000000000000e+00,    2.44467231926834e+01
        179,   1.79000000000000e+00,   2.43885653263925e+01,   0.00000000000000e+00,   6.04200559455530e-02,   0.00000000000000e+00,    2.44489853823380e+01
        180,   1.80000000000000e+00,   2.43914581019481e+01,   0.00000000000000e+00,   5.95922284212073e-02,   0.00000000000000e+00,    2.44510503303693e+01
        181,   1.81000000000000e+00,   2.43941748064004e+01,   0.00000000000000e+00,   5.87412830435383e-02,   0.00000000000000e+00,    2.44529160894439e+01
        182,   1.82000000000000e+00,   2.43981074132520e+01,   0.00000000000000e+00,   5.66353796293472e-02,   0.00000000000000e+00,    2.44547427928814e+01
        183,   1.83000000000000e+00,   2.44031702031181e+01,   0.00000000000000e+00,   5.36625323024244e-02,   0.00000000000000e+00,    2.44568327354206e+01
