  #timestep,                   time,        internal_energy,         kinetic_energy,            total_energy
        163,   1.63000000000000e+00,   4.01777726158050e-02,   6.70075881760014e-02,    1.07185360791806e-01
        164,   1.64000000000000e+00,   3.75129653954510e-02,   6.96690612412985e-02,    1.07182026636750e-01
        165,   1.65000000000000e+00,   3.51436766091884e-02,   7.20349588655020e-02,    1.07178635474690e-01
        166,   1.66000000000000e+00,   3.31098331075435e-02,   7.40655079697202e-02,    1.07175341077264e-01
        167,   1.67000000000000e+00,   3.14451890184734e-02,   7.57271672793426e-02,    1.07172356297816e-01
        168,   1.68000000000000e+00,   3.01752220942719e-02,   7.69946461670962e-02,    1.07169868261368e-01
        169,   1.69000000000000e+00,   2.93150221124496e-02,   7.78529986923178e-02,    1.07168020804767e-01
        170,   1.70000000000000e+00,   2.88675136149945e-02,   7.82994146746562e-02,    1.07166928289651e-01
        171,   1.71000000000000e+00,   2.88223832810068e-02,   7.83443142803961e-02,    1.07166697561403e-01
        172,   1.72000000000000e+00,   2.91559050301530e-02,   7.80114223067047e-02,    1.07167327336858e-01
        173,   1.73000000000000e+00,   2.98317962557712e-02,   7.73369416584848e-02,    1.07168737914256e-01
        174,   1.74000000000000e+00,   3.08029010696150e-02,   7.63678420062422e-02,    1.07170743075857e-01
        175,   1.75000000000000e+00,   3.20134617314530e-02,   7.51596431875917e-02,    1.07173104919045e-01
        176,   1.76000000000000e+00,   3.34020058515046e-02,   7.37736131523535e-02,    1.07175619003858e-01
        177,   1.77000000000000e+00,   3.49045861550311e-02,   7.22735630898469e-02,    1.07178149244878e-01
        178,   1.78000000000000e+00,   3.64579352706706e-02,   7.07226152507141e-02,    1.07180550521385e-01
        179,   1.79000000000000e+00,   3.80023283444967e-02,   6.91804060996931e-02,    1.07182734444190e-01
        180,   1.80000000000000e+00,   3.94839017429095e-02,   6.77007339150073e-02,    1.07184635657917e-01
        181,   1.81000000000000e+00,   4.08563491886467e-02,   6.63298676297255e-02,    1.07186216818372e-01
        182,   1.82000000000000e+00,   4.20821615428835e-02,   6.51053309061110e-02,    1.07187492448995e-01
        183,   1.83000000000000e+00,   4.31333696323629e-02,   6.40551373954723e-02,    1.07188507027835e-01
        184,   1.84000000000000e+00,   4.39917954453178e-02,   6.31974953048522e-02,    1.07189290750170e-01
        185,   1.85000000000000e+00,   4.46489428119648e-02,   6.25409406916555e-02,    1.07189883503620e-01
        186,   1.86000000000000e+00,   4.51054492452533e-02,   6.20848642127581e-02,    1.07190313458011e-01
        187,   1.87000000000000e+00,   4.53701535495385e-02,   6.18204590360927e-02,    1.07190612585631e-01
        188,   1.88000000000000e+00,   4.54589365413498e-02,   6.17318750434661e-02,    1.07190811584816e-01
        189,   1.89000000000000e+00,   4.53932477327919e-02,   6.17976959983276e-02,    1.07190943731120e-01
        190,   1.90000000000000e+00,   4.51983924566143e-02,   6.19926404411538e-02,    1.07191032897768e-01
        191,   1.91000000000000e+00,   4.49017434545527e-02,   6.22893534344879e-02,    1.07191096889041e-01
        192,   1.92000000000000e+00,   4.45308465728223e-02,   6.26603005050348e-02,    1.07191147077857e-01
        193,   1.93000000000000e+00,   4.41115953417424e-02,   6.30796012687437e-02,    1.07191196610486e-01
        194,   1.94000000000000e+00,   4.36666559146677e-02,   6.35246111181398e-02,    1.07191267032808e-01
        195,   1.95000000000000e+00,   4.32140873014557e-02,   6.39772948291352e-02,    1.07191382130591e-01
        196,   1.96000000000000e+00,   4.27662924661173e-02,   6.44252486848109e-02,    1.07191541150928e-01
        197,   1.97000000000000e+00,   4.23293699745623e-02,   6.48623669749459e-02,    1.07191736949508e-01
        198,   1.98000000000000e+00,   4.19027363126361e-02,   6.52892133339435e-02,    1.07191949646580e-01
        199,   1.99000000000000e+00,   4.14791819149914e-02,   6.57129832464934e-02,    1.07192165161485e-01
        200,   2.00000000000000e+00,   4.10454396442570e-02,   6.61469302529215e-02,    1.07192369897179e-01
