  #timestep,                   time,        internal_energy,         kinetic_energy,            total_energy
        188,   1.88000000000000e+00,   4.54589465039452e-02,   6.17318836351960e-02,    1.07190830139141e-01
        189,   1.89000000000000e+00,   4.53932580531724e-02,   6.17977042317771e-02,    1.07190962284949e-01
        190,   1.90000000000000e+00,   4.51984030266014e-02,   6.19926484257215e-02,    1.07191051452323e-01
        191,   1.91000000000000e+00,   4.49017541810707e-02,   6.22893612614323e-02,    1.07191115442503e-01
        192,   1.92000000000000e+00,   4.45308573828227e-02,   6.26603082502366e-02,    1.07191165633059e-01
        193,   1.93000000000000e+00,   4.41116061858061e-02,   6.30796089772788e-02,    1.07191215163085e-01
        194,   1.94000000000000e+00,   4.36666667683469e-02,   6.35246188187792e-02,    1.07191285587126e-01
        195,   1.95000000000000e+00,   4.32140981661543e-02,   6.39773025171449e-02,    1.07191400683299e-01
        196,   1.96000000000000e+00,   4.27663033685851e-02,   6.44252563358921e-02,    1.07191559704477e-01
        197,   1.97000000000000e+00,   4.23293809655137e-02,   6.48623745374402e-02,    1.07191755502954e-01
        198,   1.98000000000000e+00,   4.19027474630477e-02,   6.52892207374067e-02,    1.07191968200454e-01
        199,   1.99000000000000e+00,   4.14791933106783e-02,   6.57129904048309e-02,    1.07192183715509e-01
        200,   2.00000000000000e+00,   4.10454513793164e-02,   6.61469370718336e-02,    1.07192388451150e-01
