# timestep time total_energy kinetic_energy internal_energy external_energy max_particle_penetration
       680 6.8000000000000049e-01 2.4681825438265726e+01 6.5692197809380382e+00 1.8112605657327688e+01 0.0000000000000000e+00 1.5668703834623571e-03
       690 6.9000000000000050e-01 2.5891386811146297e+01 6.3206932706250702e+00 1.9570693540521226e+01 0.0000000000000000e+00 1.5668703834623571e-03
       700 7.0000000000000051e-01 2.7313174079649670e+01 6.2392697873347736e+00 2.1073904292314896e+01 0.0000000000000000e+00 1.5668703834623571e-03
       710 7.1000000000000052e-01 2.8944604893713823e+01 6.3269893899761733e+00 2.2617615503737650e+01 0.0000000000000000e+00 1.5668703834623571e-03
       720 7.2000000000000053e-01 3.0781236456501276e+01 6.5853128633842850e+00 2.4195923593116991e+01 0.0000000000000000e+00 1.5668703834623571e-03
       730 7.3000000000000054e-01 3.2816943372253419e+01 7.0154843790189556e+00 2.5801458993234462e+01 0.0000000000000000e+00 1.5668703834623571e-03
       740 7.4000000000000055e-01 3.5044111970426336e+01 7.6188704790600479e+00 2.7425241491366286e+01 0.0000000000000000e+00 1.5668703834623571e-03
       750 7.5000000000000056e-01 3.7453841910603614e+01 8.3972546526509682e+00 2.9056587257952643e+01 0.0000000000000000e+00 1.5668703834623571e-03
       760 7.6000000000000056e-01 4.0036146068900536e+01 9.3530698299122683e+00 3.0683076238988267e+01 0.0000000000000000e+00 1.5668703834623571e-03
       770 7.7000000000000057e-01 4.2780140295450543e+01 1.0489555052311161e+01 3.2290585243139382e+01 0.0000000000000000e+00 1.5668703834623571e-03
       780 7.8000000000000058e-01 4.5674215588075477e+01 1.1810827079899125e+01 3.3863388508176349e+01 0.0000000000000000e+00 1.5668703834623571e-03
       790 7.9000000000000059e-01 4.8706186507909784e+01 1.3321862434546041e+01 3.5384324073363743e+01 0.0000000000000000e+00 1.5668703834623571e-03
       800 8.0000000000000060e-01 5.1863411213087915e+01 1.5028390024747367e+01 3.6835021188340548e+01 0.0000000000000000e+00 1.5668703834623571e-03
       810 8.1000000000000061e-01 5.5122309571301386e+01 1.6925079319564329e+01 3.8197230251737054e+01 0.0000000000000000e+00 1.5668703834623571e-03
       820 8.2000000000000062e-01 5.5999923071973441e+01 1.5867938347308383e+01 4.0131984724665060e+01 0.0000000000000000e+00 1.5668703834623571e-03
       830 8.3000000000000063e-01 5.4605692403583816e+01 1.3240555883581973e+01 4.1365136520001840e+01 0.0000000000000000e+00 1.7047176844068868e-03
       840 8.4000000000000064e-01 5.5770503319330437e+01 1.3847165492118448e+01 4.1923337827211988e+01 0.0000000000000000e+00 1.7047176844068868e-03
       850 8.5000000000000064e-01 5.9778970828802272e+01 1.6788058295543792e+01 4.2990912533258481e+01 0.0000000000000000e+00 1.7047176844068868e-03
       860 8.6000000000000065e-01 6.4053861661577315e+01 2.0183282454249273e+01 4.3870579207328035e+01 0.0000000000000000e+00 1.7047176844068868e-03
       870 8.7000000000000066e-01 6.8568627091561325e+01 2.4037131640908612e+01 4.4531495450652713e+01 0.0000000000000000e+00 1.7047176844068868e-03
       880 8.8000000000000067e-01 7.3295123191114598e+01 2.8352337402422254e+01 4.4942785788692348e+01 0.0000000000000000e+00 1.7047176844068868e-03
       890 8.9000000000000068e-01 7.8198547100199917e+01 3.3123837838633861e+01 4.5074709261566056e+01 0.0000000000000000e+00 1.7047176844068868e-03
       900 9.0000000000000069e-01 8.3237939665477228e+01 3.8337286072406059e+01 4.4900653593071169e+01 0.0000000000000000e+00 1.7047176844068868e-03
       910 9.1000000000000070e-01 8.8366910384639226e+01 4.3967693435579221e+01 4.4399216949059998e+01 0.0000000000000000e+00 1.7047176844068868e-03
       920 9.2000000000000071e-01 9.3534565307782714e+01 4.9978352740430012e+01 4.3556212567352702e+01 0.0000000000000000e+00 1.7047176844068868e-03
       930 9.3000000000000071e-01 9.8686611003928292e+01 5.6320180589036404e+01 4.2366430414891887e+01 0.0000000000000000e+00 1.7047176844068868e-03
       940 9.4000000000000072e-01 1.0376660110059353e+02 6.2931597955863609e+01 4.0835003144729924e+01 0.0000000000000000e+00 1.7047176844068868e-03
       950 9.5000000000000073e-01 1.0871728649960099e+02 6.9739036421147503e+01 3.8978250078453485e+01 0.0000000000000000e+00 1.7047176844068868e-03
       960 9.6000000000000074e-01 1.1348202636967119e+02 7.6658115714728098e+01 3.6823910654943099e+01 0.0000000000000000e+00 1.7047176844068868e-03
       970 9.7000000000000075e-01 1.1800621456913728e+02 8.3595489873786235e+01 3.4410724695351050e+01 0.0000000000000000e+00 1.7047176844068868e-03
       980 9.8000000000000076e-01 1.2223867535429622e+02 9.0451308221963629e+01 3.1787367132332598e+01 0.0000000000000000e+00 1.7047176844068868e-03
       990 9.9000000000000077e-01 1.2613298311147575e+02 9.7122187789057875e+01 2.9010795322417877e+01 0.0000000000000000e+00 1.7047176844068868e-03
      1000 1.0000000000000007e+00 1.2953845192816544e+02 1.0335500917719109e+02 2.6183442750974354e+01 0.0000000000000000e+00 1.7047176844068868e-03
