"displacement:0","displacement:1","displacement:2","nodal_GL_strains_xyz:0","nodal_GL_strains_xyz:1","nodal_GL_strains_xyz:2","nodal_GL_strains_xyz:3","nodal_GL_strains_xyz:4","nodal_GL_strains_xyz:5","nodal_cauchy_stresses_xyz:0","nodal_cauchy_stresses_xyz:1","nodal_cauchy_stresses_xyz:2","nodal_cauchy_stresses_xyz:3","nodal_cauchy_stresses_xyz:4","nodal_cauchy_stresses_xyz:5","Points:0","Points:1","Points:2"
0.5,0.8,0,1.5,-1.9527e-15,-0.375,4.0385e-15,0,0,375,75,0,9.1118e-13,0,0,0.5,0.3,0,1.0e-9
0.4,0.8,0,1.5,2.1684e-15,-0.375,-1.4402e-15,0,0,375,75,0,-1.0239e-13,0,0,0.4,0.3,0,1.0e-9
0.35,0.8,0,1.5,-4.6573e-15,-0.375,-6.6414e-16,0,0,375,75,0,-3.8167e-14,0,0,0.35,0.3,0,1.0e-9
0.3,0.8,0,1.5,-9.4298e-18,-0.375,3.2968e-15,0,0,375,75,0,4.6557e-13,0,0,0.3,0.3,0,1.0e-9
0.25,0.8,0,1.5,-2.3919e-15,-0.375,-1.6273e-15,0,0,375,75,0,-3.9134e-13,0,0,0.25,0.3,0,1.0e-9
0.2,0.8,0,1.5,-1.3027e-16,-0.375,4.2971e-16,0,0,375,75,0,2.0459e-13,0,0,0.2,0.3,0,1.0e-9
0.15,0.8,0,1.5,4.1342e-16,-0.375,-9.0802e-17,0,0,375,75,0,-4.2416e-14,0,0,0.15,0.3,0,1.0e-9
0.1,0.8,0,1.5,-8.8021e-16,-0.375,-3.9475e-16,0,0,375,75,0,3.5086e-14,0,0,0.1,0.3,0,1.0e-9
0.05,0.8,0,1.5,3.3958e-16,-0.375,-3.4753e-16,0,0,375,75,0,-4.8944e-14,0,0,0.05,0.3,0,1.0e-9
2.0817e-17,0.8,0,1.5,-1.579e-15,-0.375,-1.3949e-16,0,0,375,75,0,-2.7044e-13,0,0,2.0817e-17,0.3,0,1.0e-9
-0.05,0.8,0,1.5,2.4766e-16,-0.375,9.6081e-16,0,0,375,75,0,1.5991e-13,0,0,-0.05,0.3,0,1.0e-9
-0.1,0.8,0,1.5,1.3749e-15,-0.375,4.2559e-16,0,0,375,75,0,5.6381e-14,0,0,-0.1,0.3,0,1.0e-9
-0.15,0.8,0,1.5,1.1077e-15,-0.375,1.5862e-15,0,0,375,75,0,2.9018e-13,0,0,-0.15,0.3,0,1.0e-9
-0.2,0.8,0,1.5,3.4359e-15,-0.375,-1.7327e-15,0,0,375,75,0,-1.8754e-13,0,0,-0.2,0.3,0,1.0e-9
-0.25,0.8,0,1.5,-2.3933e-15,-0.375,2.1803e-15,0,0,375,75,0,3.3909e-13,0,0,-0.25,0.3,0,1.0e-9
-0.3,0.8,0,1.5,2.6089e-15,-0.375,9.6547e-16,0,0,375,75,0,1.3758e-13,0,0,-0.3,0.3,0,1.0e-9
-0.35,0.8,0,1.5,1.2945e-15,-0.375,-1.7936e-15,0,0,375,75,0,-3.4693e-13,0,0,-0.35,0.3,0,1.0e-9
-0.4,0.8,0,1.5,5.2284e-15,-0.375,2.3432e-16,0,0,375,75,0,-3.352e-14,0,0,-0.4,0.3,0,1.0e-9
-0.45,0.8,0,1.5,-1.583e-15,-0.375,-1.112e-15,0,0,375,75,0,1.4952e-14,0,0,-0.45,0.3,0,1.0e-9
